visitorid,pred_prob,user_segment,view_count,cart_count
968683,1.0,very_high,308,2
966491,1.0,very_high,249,1
719708,1.0,very_high,328,91
695164,1.0,very_high,324,23
317355,1.0,very_high,228,5
316600,1.0,very_high,635,1
1109474,1.0,very_high,604,8
634327,1.0,very_high,270,1
449194,1.0,very_high,311,1
354785,1.0,very_high,359,1
77390,1.0,very_high,959,1
638482,1.0,very_high,1828,1
79627,1.0,very_high,1619,4
95405,1.0,very_high,630,1
73449,1.0,very_high,424,2
909859,1.0,very_high,356,1
934040,1.0,very_high,389,2
527307,1.0,very_high,934,3
892013,1.0,very_high,2023,1
233961,1.0,very_high,243,1
1122038,1.0,very_high,329,2
1240838,0.9999999999999989,very_high,216,22
643673,0.999999999999998,very_high,212,22
169423,0.9999999999999956,very_high,197,2
963348,0.9999999999999589,very_high,185,7
802320,0.9999999999998586,very_high,174,1
1137090,0.9999999999998217,very_high,179,14
960773,0.9999999999995495,very_high,169,6
371257,0.9999999999992841,very_high,169,12
983447,0.9999999999988596,very_high,161,2
1098890,0.9999999999977114,very_high,156,1
278241,0.9999999999932423,very_high,149,1
1032742,0.9999999999931621,very_high,184,71
1015928,0.9999999999929128,very_high,199,101
474308,0.9999999999658962,very_high,141,6
1380669,0.9999999999603486,very_high,142,10
870811,0.9999999999505804,very_high,1,31
1127595,0.9999999999324536,very_high,143,19
97958,0.9999999999312268,very_high,134,1
582600,0.999999999839237,very_high,129,2
1343677,0.9999999996770497,very_high,124,1
322384,0.9999999995934761,very_high,123,2
478537,0.9999999995061639,very_high,137,33
682621,0.9999999994901667,very_high,123,5
1172121,0.9999999994050088,very_high,122,5
783557,0.9999999994004674,very_high,120,1
1185399,0.9999999992454771,very_high,119,2
398192,0.9999999991981143,very_high,123,11
463561,0.999999999057898,very_high,120,7
1224022,0.999999998887029,very_high,116,1
